cfg,family,param,P,stage,err2_lin,true2_lin,err2_ang,true2_ang
7853,grown,0.1,16,diag,0.00067915422,0.31329471,0.0002907868,0.081038271
8431,grown,0.1,16,2b,0.0068314716,0.28361847,0.00075670171,0.066654334
8431,grown,0.1,16,b1,0.0015742563,0.28361847,0.0005215928,0.066654334
8431,grown,0.1,16,moments,0.00065045777,0.28361847,0.00031587979,0.066654334
8431,grown,0.1,16,diag,0.00058845756,0.28361847,0.00038195533,0.066654334
8715,grown,0.1,24,2b,0.012908593,0.38523906,0.0024898412,0.088655293
8715,grown,0.1,24,b1,0.0041302457,0.38523906,0.00081862619,0.088655293
8715,grown,0.1,24,moments,0.00123494,0.38523906,0.00058384944,0.088655293
8715,grown,0.1,24,diag,0.00062435327,0.38523906,0.00051908562,0.088655293
8893,grown,0.1,24,2b,0.021251375,0.19760479,0.00424986,0.084790259
8893,grown,0.1,24,b1,0.0047694771,0.19760479,0.00088101311,0.084790259
8893,grown,0.1,24,moments,0.0018425109,0.19760479,0.00056427873,0.084790259
8893,grown,0.1,24,diag,0.0015390131,0.19760479,0.00049270609,0.084790259
8834,grown,0.1,24,2b,0.020390007,0.89602153,0.0035367107,0.085950669
8834,grown,0.1,24,b1,0.0044396374,0.89602153,0.0013624732,0.085950669
8834,grown,0.1,24,moments,0.0015700878,0.89602153,0.0011320134,0.085950669
8834,grown,0.1,24,diag,0.0011898081,0.89602153,0.00071672123,0.085950669
9152,grown,0.1,24,2b,0.013411501,0.52272378,0.0027347066,0.099269453
9152,grown,0.1,24,b1,0.0024359332,0.52272378,0.00099043132,0.099269453
9152,grown,0.1,24,moments,0.0013961314,0.52272378,0.00073125679,0.099269453
9152,grown,0.1,24,diag,0.00087781487,0.52272378,0.00063723742,0.099269453
8995,grown,0.1,24,2b,0.024146029,0.14245861,0.003137012,0.078782987
8995,grown,0.1,24,b1,0.0078817131,0.14245861,0.00084025199,0.078782987
8995,grown,0.1,24,moments,0.0027474683,0.14245861,0.00079638047,0.078782987
8995,grown,0.1,24,diag,0.0024879114,0.14245861,0.00076504316,0.078782987
9156,grown,0.1,24,2b,0.012924181,0.47255541,0.0031823953,0.094640012
9156,grown,0.1,24,b1,0.0028623992,0.47255541,0.0010592468,0.094640012
9156,grown,0.1,24,moments,0.0014557252,0.47255541,0.00093255332,0.094640012
9156,grown,0.1,24,diag,0.0011625102,0.47255541,0.00063339886,0.094640012
9459,grown,0.1,32,2b,0.031766141,0.36563937,0.0045518574,0.12064747
9459,grown,0.1,32,b1,0.0075178081,0.36563937,0.0016667847,0.12064747
9459,grown,0.1,32,moments,0.0035754874,0.36563937,0.0013864258,0.12064747
