case,n,loading,backend,policy,order,pdeg,max_leaf,mac,theta,rel_far,rel_total,far_ms,near_pairs,traverse_ms,p2p_ms,build_ms,upward_ms,fp32_level,rel_asym,rel_asym_stderr,asym_probes,pair_budget_gb,gpu
twodrop0,1047968,random,widebvh,bary,,7,2048,0.6,,1.4861773070523214e-05,1.4776195018273617e-05,728.361641333322,14048292.0,373.3019714355469,317.0982666015625,14.553336,21.718609,3,3.0447003353863128e-05,7.322032435388132e-06,8,2.0,NVIDIA GeForce RTX 4060 Laptop GPU
twodrop0,1047968,random,widebvh,bary,,7,2048,0.7,,6.821696988120538e-05,6.782415837849296e-05,515.965299000527,9123685.0,274.8853759765625,202.724609375,14.660853,22.37234,3,0.00011933056704104453,3.56976932505294e-05,8,2.0,NVIDIA GeForce RTX 4060 Laptop GPU
twodrop0,1047968,random,widebvh,bary,,7,2048,0.8,,0.00029354815387845395,0.0002918578253334562,382.6765176660653,6222836.0,200.86837768554688,136.77923583984375,14.721829,19.078371,3,0.0005859109392507919,0.00010325403905440522,8,2.0,NVIDIA GeForce RTX 4060 Laptop GPU
twodrop0,1047968,random,widebvh,bary,,7,2048,0.9,,0.0011082173835910375,0.0011018359723888324,302.9666099998091,4801389.0,163.48077392578125,100.531005859375,14.624270000000001,19.820015,3,0.00189826280101894,0.0005193884727901879,8,2.0,NVIDIA GeForce RTX 4060 Laptop GPU
twodrop0,1047968,random,widebvh,bary,,7,2048,1.0,,0.0020894679724514087,0.002077436258706905,285.6263876662221,4762051.0,145.4286651611328,101.17635345458984,14.631772,20.228743,3,0.004028747362461645,0.000829469944069233,8,2.0,NVIDIA GeForce RTX 4060 Laptop GPU
twodrop0,1047968,random,widebvh,bary,,5,256,0.6,,0.00023172940657535776,0.00023039504686137404,539.0328836668535,15916511.0,441.7912292480469,68.10857391357422,19.405849,9.665288,3,0.00041908319734272804,8.949907338704319e-05,8,2.0,NVIDIA GeForce RTX 4060 Laptop GPU
twodrop0,1047968,random,widebvh,bary,,5,256,0.7,,0.0006991038336120986,0.0006950782073212885,383.32571733311244,10141320.0,306.6995544433594,40.63715362548828,19.149341999999997,9.293559,3,0.001398190430495056,0.000330332772837337,8,2.0,NVIDIA GeForce RTX 4060 Laptop GPU
twodrop0,1047968,random,widebvh,bary,,5,256,0.8,,0.0018824614407554842,0.0018716217258190242,287.7975303332884,7322351.0,223.97763061523438,27.988832473754883,18.409682,8.758651,3,0.004609198832171857,0.0013547413640170554,8,2.0,NVIDIA GeForce RTX 4060 Laptop GPU
twodrop0,1047968,random,widebvh,bary,,5,256,0.9,,0.00452951895325269,0.004503436775318227,235.80569233430046,7141470.0,176.1136932373047,27.37558364868164,18.649393,8.732126,3,0.010928788857997387,0.002169878089076324,8,2.0,NVIDIA GeForce RTX 4060 Laptop GPU
twodrop0,1047968,random,widebvh,bary,,5,256,1.0,,0.006726077576165603,0.006687347027965428,223.16323566701612,7139518.0,161.10389709472656,27.82921600341797,18.719797,8.62749,3,0.014729625467166432,0.0027842309146359654,8,2.0,NVIDIA GeForce RTX 4060 Laptop GPU
twodrop0,1047968,random,widebvh,bary,,5,512,0.6,,0.0002097123479504002,0.00020850476833085394,532.6238593333983,16963558.0,369.2716369628906,124.10192108154297,17.294551000000002,9.090287,3,0.0004032466996314939,9.308803609385698e-05,8,2.0,NVIDIA GeForce RTX 4060 Laptop GPU
