N,phi,seed,forcing,rung,truth_gap,n_near,sd_check,acc,prmse_lin,prmse_fluct,err_mean_pct,prmse_ang,rel_rmse,max_rel_lin
200,0.1,4423,gravity,rpy,2.7129112737933556e-05,3770,4.237989717875201e-15,fine,4.083605778581012,21.516089858567994,3.1339331518887024,22.087280820127212,4.128946498044468,6.8413704116237986
200,0.1,4423,gravity,2b,2.7129112737933556e-05,3770,4.237989717875201e-15,fine,3.6245834202041567,20.460217876888493,2.6286320384926953,21.522144087904245,3.6733210157991953,6.110961433379736
200,0.1,4423,gravity,near_nn,2.7129112737933556e-05,3770,4.237989717875201e-15,fine,1.7588108590516898,13.307302024722894,0.6488857393537273,14.441193458846598,1.8043792755314283,3.284115663624992
200,0.1,4423,gravity,stack_nn,2.7129112737933556e-05,3770,4.237989717875201e-15,fine,1.7692413480454683,13.350535207687084,0.6638642021887663,14.540873966697282,1.8151688367918237,3.307203573945362
200,0.1,4423,gravity,near_ex,2.7129112737933556e-05,3770,4.237989717875201e-15,fine,1.300424323241089,10.217771091704106,0.3369448628536565,9.96606744981842,1.3297596098897484,2.8993323143481686
200,0.1,4423,gravity,diag_ex,2.7129112737933556e-05,3770,4.237989717875201e-15,fine,1.2926489079373444,10.099876275429441,0.36034783650249813,10.009950280822288,1.3224247067841617,2.977934172102665
200,0.1,4423,gravity,far_ex,2.7129112737933556e-05,3770,4.237989717875201e-15,fine,6.653434627600757e-05,0.0005395574001482534,4.837754450467396e-06,0.005733231349270717,0.00017435634457894548,0.0005775181086923633
200,0.1,4423,gravity,rpy+ref1,2.7129112737933556e-05,3770,4.237989717875201e-15,fine,0.3094859675369344,2.500484720270751,0.03493395594275906,3.893775417614957,0.32815827468445363,1.3189170983885503
200,0.1,4423,gravity,rpy+ref2,2.7129112737933556e-05,3770,4.237989717875201e-15,fine,0.38362481623883016,2.417576818294218,0.244251371356307,2.3762470689437043,0.3892481355241632,1.1043943062091304
200,0.1,4423,gravity,rpy+full,2.7129112737933556e-05,3770,4.237989717875201e-15,fine,0.2612637226179588,1.7552491837898785,0.14827992824486844,1.7835250830442893,0.26592982804502524,0.9642898945033636
200,0.1,4423,gravity,sd_minf,2.7129112737933556e-05,3770,4.237989717875201e-15,fine,0.26126372261795305,1.755249183789902,0.14827992824485384,1.7835250830441411,0.26592982804501886,0.964289894503513
200,0.1,4423,gravity,stack+ref1,2.7129112737933556e-05,3770,4.237989717875201e-15,fine,2.7680805563342186,10.641406345384643,2.4577807690586377,11.509326885454932,2.7858392110718024,5.380011663110942
200,0.1,4423,gravity,stack+ref2,2.7129112737933556e-05,3770,4.237989717875201e-15,fine,2.474089577983964,9.046166631505786,2.2267110936058163,8.616696246046693,2.4849464499219156,4.621780668498399
200,0.1,4423,gravity,stack+full,2.7129112737933556e-05,3770,4.237989717875201e-15,fine,2.5928371891511452,9.65011295800198,2.3228731868258,9.30612207718253,2.604982532472906,4.908289429558557
200,0.1,4423,gravity,stack+ref1_uncov,2.7129112737933556e-05,3770,4.237989717875201e-15,fine,0.5385796147825451,3.419267578373893,0.33904668019319484,5.3725459437059815,0.5591510671941492,1.1580723528775423
200,0.1,4423,gravity,pnear+ref1_far,2.7129112737933556e-05,3770,4.237989717875201e-15,fine,0.26982652433736676,2.15548155371521,0.05063742425811257,2.4303060443855022,0.2782383492778001,0.9565405647667077
