backend,n,step,t,far_ms,nsearch_ms,self2b_ms,nbody_ms,overall_near_ms,total_gpu_ms,near_pairs,wall_ms,z_std,bbox_vol,gpu,git_sha
warp,1047968,14,0.14,264.68,2.379,28.201,152.298,183.15,448.715,21233596,448.772,235.039,118654408.0,NVIDIA H200,ac78eb4
warp,1047968,15,0.15,266.457,2.452,28.174,152.192,183.114,450.406,21206558,450.471,234.558,120048600.0,NVIDIA H200,ac78eb4
warp,1047968,16,0.16,265.797,2.361,28.061,151.81,182.506,449.129,21144784,449.188,234.05,121325032.0,NVIDIA H200,ac78eb4
warp,1047968,17,0.17,265.619,2.389,27.9,151.101,181.664,448.106,21041306,448.163,233.516,122527472.0,NVIDIA H200,ac78eb4
warp,1047968,18,0.18,266.078,2.314,27.722,150.105,180.41,447.299,20898194,447.358,232.959,124099824.0,NVIDIA H200,ac78eb4
warp,1047968,19,0.19,268.104,2.368,27.552,149.001,179.213,448.662,20733524,448.721,232.38,125609312.0,NVIDIA H200,ac78eb4
warp,1047968,20,0.2,268.988,2.417,27.287,147.817,177.791,447.57,20554590,447.63,231.782,127012920.0,NVIDIA H200,ac78eb4
warp,1047968,21,0.21,269.797,2.378,27.069,146.626,176.34,446.919,20373162,446.983,231.167,128347128.0,NVIDIA H200,ac78eb4
warp,1047968,22,0.22,270.126,2.308,26.86,145.518,175.033,446.283,20198104,446.349,230.536,129865312.0,NVIDIA H200,ac78eb4
warp,1047968,23,0.23,273.44,2.43,26.721,144.248,173.716,448.144,20027624,448.21,229.893,131456304.0,NVIDIA H200,ac78eb4
warp,1047968,24,0.24,274.098,2.408,26.367,143.125,172.177,447.102,19869612,447.159,229.239,132972744.0,NVIDIA H200,ac78eb4
warp,1047968,25,0.25,273.469,2.365,26.236,142.201,171.071,445.389,19725570,445.448,228.577,134407232.0,NVIDIA H200,ac78eb4
warp,1047968,26,0.26,274.822,2.624,26.186,141.294,170.456,446.378,19600070,446.452,227.909,135771104.0,NVIDIA H200,ac78eb4
warp,1047968,27,0.27,275.021,2.289,25.924,140.636,169.111,444.951,19494694,445.013,227.237,137092048.0,NVIDIA H200,ac78eb4
warp,1047968,28,0.28,273.9,2.311,25.864,140.099,168.551,443.242,19419828,443.299,226.564,138685680.0,NVIDIA H200,ac78eb4
warp,1047968,29,0.29,274.079,2.377,25.855,139.809,168.329,443.852,19383434,443.914,225.891,140416912.0,NVIDIA H200,ac78eb4
warp,1047968,30,0.3,272.971,2.346,25.761,139.85,168.225,441.971,19390738,442.027,225.222,142359584.0,NVIDIA H200,ac78eb4
warp,1047968,31,0.31,274.923,2.273,25.851,140.06,168.448,444.154,19426698,444.212,224.558,144250928.0,NVIDIA H200,ac78eb4
warp,1047968,32,0.32,276.944,2.271,25.894,140.298,168.734,446.478,19473340,446.536,223.903,146096880.0,NVIDIA H200,ac78eb4
warp,1047968,33,0.33,279.213,2.251,26.018,140.724,169.26,449.276,19529560,449.335,223.258,147902608.0,NVIDIA H200,ac78eb4
warp,1047968,34,0.34,281.312,2.267,26.09,141.128,169.761,451.881,19591990,451.939,222.626,149674720.0,NVIDIA H200,ac78eb4
